symbol,name,lastSale,marketCap,iPOyear,sector,industry,Summary Quote
ABTL,Autobytel Inc.,11.77,$130.31M,1999,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/abtl
ADSK,"Autodesk, Inc.",111.5,$24.57B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk
ADP,"Automatic Data Processing, Inc.",117.38,$52.52B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
AVDL,Avadel Pharmaceuticals plc,9.59,$396.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/avdl
ATXI,"Avenue Therapeutics, Inc.",7.02,$62.07M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atxi
AVEO,"AVEO Pharmaceuticals, Inc.",2.5,$275.91M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aveo
AVXS,"AveXis, Inc.",92,$2.94B,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avxs
AVNW,"Aviat Networks, Inc.",18.95,$100.73M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/avnw
AVID,"Avid Technology, Inc.",5.19,$212.13M,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/avid
AVGR,"Avinger, Inc.",0.46,$11M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/avgr
AVIR,"Aviragen Therapeutics, Inc.",0.53,$20.48M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avir
CAR,"Avis Budget Group, Inc.",32.6,$2.75B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/car
AHPA,Avista Healthcare Public Acquisition Corp.,9.89,$383.24M,2016,Finance,Business Services,http://www.nasdaq.com/symbol/ahpa
AHPAU,Avista Healthcare Public Acquisition Corp.,10.34,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/ahpau
AHPAW,Avista Healthcare Public Acquisition Corp.,0.45,n/a,2016,Finance,Business Services,http://www.nasdaq.com/symbol/ahpaw
AWRE,"Aware, Inc.",4.7,$102.64M,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/awre
AXAR,Axar Acquisition Corp.,9.95,$84.64M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/axar
AXARU,Axar Acquisition Corp.,10,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/axaru
AXARW,Axar Acquisition Corp.,0.08,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/axarw
ACLS,"Axcelis Technologies, Inc.",22.85,$687.69M,2000,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls
AXGN,"AxoGen, Inc.",15.1,$499.74M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/axgn
AAXN,"Axon Enterprise, Inc.",24.72,$1.3B,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aaxn
AXSM,"Axsome Therapeutics, Inc.",6.15,$145.17M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axsm
